exp,row,fold,seed,name,ba,f1
exp1,gated_kd,0,42,drr_e1_f00_s42_gated_kd_t040_thr050,0.5217391304347826,0.498015873015873
exp1,plain_kd,0,42,drr_e1_f00_s42_plain_kd,0.5217391304347826,0.5208333333333333
exp1,supervised,0,42,drr_e1_f00_s42_supervised,0.5434782608695652,0.5253071253071253
exp1,teacher,0,42,drr_e1_f00_s42_teacher,0.6304347826086956,0.6260162601626016
exp1,gated_kd,0,43,drr_e1_f00_s43_gated_kd_t040_thr050,0.5652173913043478,0.5652173913043478
exp1,plain_kd,0,43,drr_e1_f00_s43_plain_kd,0.5217391304347826,0.5180952380952382
exp1,supervised,0,43,drr_e1_f00_s43_supervised,0.5434782608695652,0.532656023222061
exp1,teacher,0,43,drr_e1_f00_s43_teacher,0.6739130434782609,0.6737588652482269
exp1,gated_kd,0,44,drr_e1_f00_s44_gated_kd_t040_thr050,0.5652173913043478,0.5652173913043478
exp1,plain_kd,0,44,drr_e1_f00_s44_plain_kd,0.4782608695652174,0.4742857142857143
exp1,supervised,0,44,drr_e1_f00_s44_supervised,0.5652173913043479,0.5619047619047619
exp1,teacher,0,44,drr_e1_f00_s44_teacher,0.6521739130434783,0.6515151515151515
exp1,gated_kd,0,45,drr_e1_f00_s45_gated_kd_t040_thr050,0.6086956521739131,0.6086956521739131
exp1,supervised,0,45,drr_e1_f00_s45_supervised,0.6739130434782609,0.6737588652482269
exp1,teacher,0,45,drr_e1_f00_s45_teacher,0.6739130434782609,0.6456086286594761
exp1,gated_kd,0,46,drr_e1_f00_s46_gated_kd_t040_thr050,0.5434782608695652,0.5157894736842106
exp1,supervised,0,46,drr_e1_f00_s46_supervised,0.5652173913043479,0.5619047619047619
exp1,teacher,0,46,drr_e1_f00_s46_teacher,0.6739130434782609,0.6351136964569011
exp1,gated_kd,0,47,drr_e1_f00_s47_gated_kd_t040_thr050,0.5,0.4881470730527334
exp1,supervised,0,47,drr_e1_f00_s47_supervised,0.4782608695652174,0.46923076923076923
exp1,teacher,0,47,drr_e1_f00_s47_teacher,0.5869565217391304,0.5378106821787414
exp1,gated_kd,1,42,drr_e1_f01_s42_gated_kd_t040_thr050,0.6086956521739131,0.5964912280701754
exp1,plain_kd,1,42,drr_e1_f01_s42_plain_kd,0.5869565217391304,0.5771649733913884
exp1,supervised,1,42,drr_e1_f01_s42_supervised,0.5869565217391304,0.5619047619047619
exp1,teacher,1,42,drr_e1_f01_s42_teacher,0.5652173913043479,0.5643939393939394
exp1,gated_kd,1,43,drr_e1_f01_s43_gated_kd_t040_thr050,0.7391304347826086,0.7309941520467836
exp1,plain_kd,1,43,drr_e1_f01_s43_plain_kd,0.782608695652174,0.7758284600389863
exp1,supervised,1,43,drr_e1_f01_s43_supervised,0.5652173913043479,0.5334685598377282
exp1,teacher,1,43,drr_e1_f01_s43_teacher,0.5869565217391304,0.5771649733913884
exp1,gated_kd,1,44,drr_e1_f01_s44_gated_kd_t040_thr050,0.6956521739130435,0.6950757575757576
exp1,plain_kd,1,44,drr_e1_f01_s44_plain_kd,0.6086956521739131,0.6057142857142856
exp1,supervised,1,44,drr_e1_f01_s44_supervised,0.6521739130434783,0.6461538461538461
exp1,teacher,1,44,drr_e1_f01_s44_teacher,0.6956521739130435,0.6861598440545809
exp1,gated_kd,1,45,drr_e1_f01_s45_gated_kd_t040_thr050,0.6304347826086956,0.6260162601626016
exp1,supervised,1,45,drr_e1_f01_s45_supervised,0.7608695652173914,0.7607565011820331
exp1,teacher,1,45,drr_e1_f01_s45_teacher,0.5,0.49786426198386335
exp1,gated_kd,1,46,drr_e1_f01_s46_gated_kd_t040_thr050,0.4347826086956522,0.4171539961013645
exp1,supervised,1,46,drr_e1_f01_s46_supervised,0.7391304347826086,0.7371428571428571
exp1,teacher,1,46,drr_e1_f01_s46_teacher,0.5869565217391304,0.5867612293144208
exp1,gated_kd,1,47,drr_e1_f01_s47_gated_kd_t040_thr050,0.5652173913043479,0.5619047619047619
exp1,supervised,1,47,drr_e1_f01_s47_supervised,0.5869565217391304,0.5619047619047619
exp1,teacher,1,47,drr_e1_f01_s47_teacher,0.5434782608695652,0.5157894736842106
exp1,gated_kd,2,42,drr_e1_f02_s42_gated_kd_t040_thr050,0.6086956521739131,0.601923076923077
exp1,plain_kd,2,42,drr_e1_f02_s42_plain_kd,0.6086956521739131,0.6079545454545454
exp1,supervised,2,42,drr_e1_f02_s42_supervised,0.3695652173913043,0.34447174447174445
exp1,teacher,2,42,drr_e1_f02_s42_teacher,0.6521739130434783,0.6515151515151515
exp1,gated_kd,2,43,drr_e1_f02_s43_gated_kd_t040_thr050,0.6739130434782609,0.6725201708590414
exp1,plain_kd,2,43,drr_e1_f02_s43_plain_kd,0.4130434782608695,0.3991291727140784
exp1,supervised,2,43,drr_e1_f02_s43_supervised,0.6304347826086956,0.6288561936402468
exp1,teacher,2,43,drr_e1_f02_s43_teacher,0.45652173913043476,0.4500239120038259
exp1,gated_kd,2,44,drr_e1_f02_s44_gated_kd_t040_thr050,0.5434782608695652,0.5157894736842106
exp1,plain_kd,2,44,drr_e1_f02_s44_plain_kd,0.4782608695652174,0.40645161290322585
exp1,supervised,2,44,drr_e1_f02_s44_supervised,0.6521739130434783,0.6521739130434783
exp1,teacher,2,44,drr_e1_f02_s44_teacher,0.5434782608695652,0.5432624113475177
exp1,gated_kd,2,45,drr_e1_f02_s45_gated_kd_t040_thr050,0.6521739130434783,0.6495238095238096
exp1,supervised,2,45,drr_e1_f02_s45_supervised,0.6086956521739131,0.6086956521739131
exp1,teacher,2,45,drr_e1_f02_s45_teacher,0.6304347826086956,0.6288561936402468
exp1,gated_kd,2,46,drr_e1_f02_s46_gated_kd_t040_thr050,0.5217391304347826,0.498015873015873
exp1,supervised,2,46,drr_e1_f02_s46_supervised,0.5,0.45659989727786343
exp1,teacher,2,46,drr_e1_f02_s46_teacher,0.5,0.45659989727786343
exp1,gated_kd,2,47,drr_e1_f02_s47_gated_kd_t040_thr050,0.6521739130434783,0.6521739130434783
exp1,supervised,2,47,drr_e1_f02_s47_supervised,0.6956521739130435,0.6903846153846154
exp1,teacher,2,47,drr_e1_f02_s47_teacher,0.5652173913043478,0.5516569200779727
exp1,gated_kd,3,42,drr_e1_f03_s42_gated_kd_t040_thr050,0.708498023715415,0.7058823529411764
exp1,plain_kd,3,42,drr_e1_f03_s42_plain_kd,0.5474308300395256,0.48156682027649766
exp1,supervised,3,42,drr_e1_f03_s42_supervised,0.6254940711462451,0.6153846153846154
exp1,teacher,3,42,drr_e1_f03_s42_teacher,0.7984189723320159,0.7984071677451469
exp1,gated_kd,3,43,drr_e1_f03_s43_gated_kd_t040_thr050,0.5513833992094861,0.537037037037037
exp1,plain_kd,3,43,drr_e1_f03_s43_plain_kd,0.5326086956521738,0.5324096981692232
exp1,supervised,3,43,drr_e1_f03_s43_supervised,0.6057312252964426,0.5745798319327731
exp1,teacher,3,43,drr_e1_f03_s43_teacher,0.6847826086956521,0.6759259259259259
exp1,gated_kd,3,44,drr_e1_f03_s44_gated_kd_t040_thr050,0.6205533596837944,0.6192135390741662
exp1,plain_kd,3,44,drr_e1_f03_s44_plain_kd,0.6660079051383399,0.6660069272637308
exp1,supervised,3,44,drr_e1_f03_s44_supervised,0.5978260869565217,0.595
exp1,teacher,3,44,drr_e1_f03_s44_teacher,0.7984189723320159,0.7984071677451469
exp1,gated_kd,3,45,drr_e1_f03_s45_gated_kd_t040_thr050,0.5553359683794465,0.5553359683794465
exp1,supervised,3,45,drr_e1_f03_s45_supervised,0.5810276679841897,0.5701357466063348
exp1,teacher,3,45,drr_e1_f03_s45_teacher,0.6610671936758893,0.6411483253588517
exp1,gated_kd,3,46,drr_e1_f03_s46_gated_kd_t040_thr050,0.5553359683794465,0.5553359683794465
exp1,supervised,3,46,drr_e1_f03_s46_supervised,0.6017786561264822,0.5982142857142857
exp1,teacher,3,46,drr_e1_f03_s46_teacher,0.6462450592885376,0.6428571428571428
exp1,gated_kd,3,47,drr_e1_f03_s47_gated_kd_t040_thr050,0.6432806324110671,0.6428571428571428
exp1,supervised,3,47,drr_e1_f03_s47_supervised,0.6877470355731226,0.6875
exp1,teacher,3,47,drr_e1_f03_s47_teacher,0.6393280632411067,0.6218487394957983
exp1,gated_kd,4,42,drr_e1_f04_s42_gated_kd_t040_thr050,0.6525974025974026,0.6504065040650406
exp1,plain_kd,4,42,drr_e1_f04_s42_plain_kd,0.6461038961038961,0.6312178387650085
exp1,supervised,4,42,drr_e1_f04_s42_supervised,0.6439393939393939,0.6098003629764065
exp1,teacher,4,42,drr_e1_f04_s42_teacher,0.6287878787878788,0.6277056277056277
exp1,gated_kd,4,43,drr_e1_f04_s43_gated_kd_t040_thr050,0.6785714285714286,0.6655555555555556
exp1,plain_kd,4,43,drr_e1_f04_s43_plain_kd,0.7034632034632035,0.6803887935963409
exp1,supervised,4,43,drr_e1_f04_s43_supervised,0.604978354978355,0.6046511627906976
exp1,teacher,4,43,drr_e1_f04_s43_teacher,0.7002164502164503,0.6950354609929078
exp1,gated_kd,4,44,drr_e1_f04_s44_gated_kd_t040_thr050,0.6525974025974026,0.6504065040650406
exp1,plain_kd,4,44,drr_e1_f04_s44_plain_kd,0.722943722943723,0.7195652173913043
exp1,supervised,4,44,drr_e1_f04_s44_supervised,0.6536796536796536,0.6481178396072014
exp1,teacher,4,44,drr_e1_f04_s44_teacher,0.7445887445887446,0.7441860465116279
exp1,gated_kd,4,45,drr_e1_f04_s45_gated_kd_t040_thr050,0.6309523809523809,0.6228070175438596
exp1,supervised,4,45,drr_e1_f04_s45_supervised,0.6298701298701299,0.6260869565217391
exp1,teacher,4,45,drr_e1_f04_s45_teacher,0.6948051948051948,0.6916712630998345
exp1,gated_kd,4,46,drr_e1_f04_s46_gated_kd_t040_thr050,0.5281385281385281,0.48809523809523814
exp1,supervised,4,46,drr_e1_f04_s46_supervised,0.6915584415584416,0.6721407624633431
exp1,teacher,4,46,drr_e1_f04_s46_teacher,0.6331168831168831,0.6108597285067874
exp1,gated_kd,4,47,drr_e1_f04_s47_gated_kd_t040_thr050,0.6504329004329004,0.6504065040650406
exp1,supervised,4,47,drr_e1_f04_s47_supervised,0.6298701298701299,0.6260869565217391
exp1,teacher,4,47,drr_e1_f04_s47_teacher,0.5378787878787878,0.5285087719298246
exp2,gated_kd,0,45,e2_f00_s45_gated_kd_t040_thr050,0.6304347826086956,0.6260162601626016
exp2,supervised,0,45,e2_f00_s45_supervised,0.5869565217391304,0.5820181731229077
exp2,teacher,0,45,e2_f00_s45_teacher,0.6304347826086956,0.5983564458140729
exp2,gated_kd,0,46,e2_f00_s46_gated_kd_t040_thr050,0.6086956521739131,0.6086956521739131
exp2,supervised,0,46,e2_f00_s46_supervised,0.5434782608695652,0.5253071253071253
exp2,teacher,0,46,e2_f00_s46_teacher,0.6521739130434783,0.6166666666666667
exp2,gated_kd,0,47,e2_f00_s47_gated_kd_t040_thr050,0.5869565217391304,0.5771649733913884
exp2,supervised,0,47,e2_f00_s47_supervised,0.5434782608695652,0.5380200860832138
exp2,teacher,0,47,e2_f00_s47_teacher,0.6739130434782609,0.6541353383458646
exp2,gated_kd,1,45,e2_f01_s45_gated_kd_t040_thr050,0.6956521739130435,0.6903846153846154
exp2,supervised,1,45,e2_f01_s45_supervised,0.7173913043478262,0.7161841480778358
exp2,teacher,1,45,e2_f01_s45_teacher,0.6956521739130435,0.6950757575757576
exp2,gated_kd,1,46,e2_f01_s46_gated_kd_t040_thr050,0.6521739130434783,0.6413255360623782
exp2,supervised,1,46,e2_f01_s46_supervised,0.7391304347826086,0.7391304347826086
exp2,teacher,1,46,e2_f01_s46_teacher,0.5869565217391305,0.5705159705159706
exp2,gated_kd,1,47,e2_f01_s47_gated_kd_t040_thr050,0.4782608695652174,0.4782608695652174
exp2,supervised,1,47,e2_f01_s47_supervised,0.5652173913043478,0.5516569200779727
exp2,teacher,1,47,e2_f01_s47_teacher,0.7173913043478262,0.7161841480778358
exp2,gated_kd,2,45,e2_f02_s45_gated_kd_t040_thr050,0.6739130434782609,0.6737588652482269
exp2,supervised,2,45,e2_f02_s45_supervised,0.6739130434782609,0.6737588652482269
exp2,teacher,2,45,e2_f02_s45_teacher,0.717391304347826,0.7172576832151301
exp2,gated_kd,2,46,e2_f02_s46_gated_kd_t040_thr050,0.6304347826086957,0.6157248157248157
exp2,supervised,2,46,e2_f02_s46_supervised,0.5869565217391305,0.5216201423097975
exp2,teacher,2,46,e2_f02_s46_teacher,0.6521739130434783,0.6495238095238096
exp2,gated_kd,2,47,e2_f02_s47_gated_kd_t040_thr050,0.5652173913043479,0.5334685598377282
exp2,supervised,2,47,e2_f02_s47_supervised,0.5652173913043479,0.5436507936507937
exp2,teacher,2,47,e2_f02_s47_teacher,0.6521739130434783,0.6495238095238096
exp2,gated_kd,3,45,e2_f03_s45_gated_kd_t040_thr050,0.5217391304347826,0.5134615384615384
exp2,supervised,3,45,e2_f03_s45_supervised,0.6739130434782609,0.6725201708590414
exp2,teacher,3,45,e2_f03_s45_teacher,0.47826086956521735,0.4401622718052738
exp2,gated_kd,3,46,e2_f03_s46_gated_kd_t040_thr050,0.5652173913043479,0.5619047619047619
exp2,supervised,3,46,e2_f03_s46_supervised,0.6086956521739131,0.5892857142857143
exp2,teacher,3,46,e2_f03_s46_teacher,0.6739130434782609,0.6661828737300435
exp2,gated_kd,3,47,e2_f03_s47_gated_kd_t040_thr050,0.6086956521739131,0.6057142857142856
exp2,supervised,3,47,e2_f03_s47_supervised,0.6739130434782609,0.6725201708590414
exp2,teacher,3,47,e2_f03_s47_teacher,0.717391304347826,0.7106918238993711
exp2,gated_kd,4,45,e2_f04_s45_gated_kd_t040_thr050,0.6363636363636364,0.6071428571428572
exp2,supervised,4,45,e2_f04_s45_supervised,0.6818181818181819,0.681159420289855
exp2,teacher,4,45,e2_f04_s45_teacher,0.5227272727272727,0.5164835164835164
exp2,gated_kd,4,46,e2_f04_s46_gated_kd_t040_thr050,0.6590909090909092,0.6502384737678856
exp2,supervised,4,46,e2_f04_s46_supervised,0.5227272727272727,0.5164835164835164
exp2,teacher,4,46,e2_f04_s46_teacher,0.6818181818181819,0.670940170940171
exp2,gated_kd,4,47,e2_f04_s47_gated_kd_t040_thr050,0.5454545454545454,0.5445134575569358
exp2,supervised,4,47,e2_f04_s47_supervised,0.5681818181818181,0.5268817204301075
exp2,teacher,4,47,e2_f04_s47_teacher,0.6818181818181819,0.6791666666666667
exp3,gated_kd,0,42,e3_e3_f00_s42_gated_kd_b64_t040_thr050,0.6521739130434783,0.6413255360623782
exp3,gated_kd,0,43,e3_e3_f00_s43_gated_kd_b64_t040_thr050,0.5652173913043479,0.5619047619047619
exp3,gated_kd,0,44,e3_e3_f00_s44_gated_kd_b64_t040_thr050,0.5869565217391304,0.5851922164214522
exp3,gated_kd,1,42,e3_e3_f01_s42_gated_kd_b64_t040_thr050,0.5652173913043478,0.5576923076923077
exp3,gated_kd,1,43,e3_e3_f01_s43_gated_kd_b64_t040_thr050,0.6086956521739131,0.5892857142857143
exp3,gated_kd,1,44,e3_e3_f01_s44_gated_kd_b64_t040_thr050,0.6304347826086957,0.6157248157248157
exp3,gated_kd,2,42,e3_e3_f02_s42_gated_kd_b64_t040_thr050,0.6521739130434783,0.6521739130434783
exp3,gated_kd,2,43,e3_e3_f02_s43_gated_kd_b64_t040_thr050,0.6739130434782609,0.6700143472022956
exp3,gated_kd,2,44,e3_e3_f02_s44_gated_kd_b64_t040_thr050,0.4782608695652174,0.425
exp3,gated_kd,3,42,e3_e3_f03_s42_gated_kd_b64_t040_thr050,0.5434782608695652,0.532656023222061
exp3,gated_kd,3,43,e3_e3_f03_s43_gated_kd_b64_t040_thr050,0.6304347826086956,0.6288561936402468
exp3,gated_kd,3,44,e3_e3_f03_s44_gated_kd_b64_t040_thr050,0.6521739130434783,0.6461538461538461
exp3,gated_kd,4,42,e3_e3_f04_s42_gated_kd_b64_t040_thr050,0.6363636363636364,0.6239316239316239
exp3,gated_kd,4,43,e3_e3_f04_s43_gated_kd_b64_t040_thr050,0.6818181818181819,0.6791666666666667
exp3,gated_kd,4,44,e3_e3_f04_s44_gated_kd_b64_t040_thr050,0.6363636363636364,0.6071428571428572
