run_name,experiment_group,display_name,tier,split_index,accuracy,balanced_accuracy,macro_f1,precision,recall,mcc,specificity,pr_auc,brier,roc_auc
late_fusion_resampled_r01,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.976190476190476,0.23318569362163544,0.8333333333333334
late_fusion_resampled_r02,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,2,0.8,0.5,0.4444444444444444,0.8,1.0,0.0,0.0,1.0,0.23629745841026306,1.0
late_fusion_resampled_r03,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.81,0.23532645404338837,0.2
late_fusion_resampled_r04,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,4,0.9,0.5,0.47368421052631576,0.9,1.0,0.0,0.0,0.7856701940035273,0.23112276196479797,0.0
late_fusion_resampled_r05,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24496325850486755,1.0
late_fusion_resampled_r06,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,6,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,1.0,0.23506607115268707,1.0
late_fusion_resampled_r07,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,7,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,1.0,0.23351266980171204,1.0
late_fusion_resampled_r08,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24684707820415497,1.0
student_xray_cross_modal_attention_transfer_resampled_r01,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.9150793650793649,0.23800607025623322,0.5
student_xray_cross_modal_attention_transfer_resampled_r02,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24785292148590088,1.0
student_xray_cross_modal_attention_transfer_resampled_r03,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.9266666666666665,0.23615586757659912,0.6
student_xray_cross_modal_attention_transfer_resampled_r04,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,4,0.9,0.5,0.47368421052631576,0.9,1.0,0.0,0.0,0.9467813051146385,0.23425798118114471,0.5555555555555556
student_xray_cross_modal_attention_transfer_resampled_r05,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,5,0.875,0.5,0.4666666666666667,0.875,1.0,0.0,0.0,0.9379251700680272,0.23528431355953217,0.5714285714285714
student_xray_cross_modal_attention_transfer_resampled_r06,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,6,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.81,0.2382221221923828,0.2
student_xray_cross_modal_attention_transfer_resampled_r07,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,7,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.7345238095238095,0.24094484746456146,0.0
student_xray_cross_modal_attention_transfer_resampled_r08,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,8,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.8766666666666667,0.2355436235666275,0.4
student_xray_cross_modal_distill_resampled_r01,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.9150793650793649,0.24340783059597015,0.5
student_xray_cross_modal_distill_resampled_r02,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,2,0.8,0.5,0.4444444444444444,0.8,1.0,0.0,0.0,1.0,0.2372128963470459,1.0
student_xray_cross_modal_distill_resampled_r03,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.9266666666666665,0.24450498819351196,0.6
student_xray_cross_modal_distill_resampled_r04,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,4,0.5,0.7222222222222222,0.45054945054945056,1.0,0.4444444444444444,0.2721655269759087,1.0,0.9282627865961199,0.25204703211784363,0.4444444444444444
student_xray_cross_modal_distill_resampled_r05,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,5,0.375,0.6428571428571428,0.36507936507936506,1.0,0.2857142857142857,0.2182178902359924,1.0,0.9617346938775511,0.2552662491798401,0.7142857142857143
student_xray_cross_modal_distill_resampled_r06,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,6,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,1.0,0.24168188869953156,1.0
student_xray_cross_modal_distill_resampled_r07,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,7,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,1.0,0.22989220917224884,1.0
student_xray_cross_modal_distill_resampled_r08,student_xray_cross_modal_distill_resampled,Full JDCNet,Proposed-module test,8,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.71,0.2418028563261032,0.0
student_xray_cross_modal_feature_hint_resampled_r01,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.9484126984126984,0.23562975227832794,0.6666666666666666
student_xray_cross_modal_feature_hint_resampled_r02,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,2,0.8,0.5,0.4444444444444444,0.8,1.0,0.0,0.0,0.8041666666666667,0.2374354898929596,0.25
student_xray_cross_modal_feature_hint_resampled_r03,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.9266666666666665,0.23487736284732819,0.6
student_xray_cross_modal_feature_hint_resampled_r04,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,4,0.9,0.5,0.47368421052631576,0.9,1.0,0.0,0.0,0.9467813051146385,0.2340734302997589,0.5555555555555556
student_xray_cross_modal_feature_hint_resampled_r05,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,5,0.875,0.5,0.4666666666666667,0.875,1.0,0.0,0.0,0.9093537414965986,0.23324674367904663,0.42857142857142855
student_xray_cross_modal_feature_hint_resampled_r06,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,6,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.81,0.23570702970027924,0.2
student_xray_cross_modal_feature_hint_resampled_r07,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,7,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.8178571428571427,0.2343294769525528,0.16666666666666666
student_xray_cross_modal_feature_hint_resampled_r08,student_xray_cross_modal_feature_hint_resampled,Cross-modal feature hint,Mechanism controls,8,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.8766666666666667,0.2344610095024109,0.4
student_xray_cross_modal_plain_distill_resampled_r01,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.9150793650793649,0.23799800872802734,0.5
student_xray_cross_modal_plain_distill_resampled_r02,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,2,0.8,0.5,0.4444444444444444,0.8,1.0,0.0,0.0,0.8875,0.23752716183662415,0.5
student_xray_cross_modal_plain_distill_resampled_r03,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.9266666666666665,0.23617364466190338,0.6
student_xray_cross_modal_plain_distill_resampled_r04,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,4,0.9,0.5,0.47368421052631576,0.9,1.0,0.0,0.0,0.9467813051146385,0.23427478969097137,0.5555555555555556
student_xray_cross_modal_plain_distill_resampled_r05,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,5,0.875,0.5,0.4666666666666667,0.875,1.0,0.0,0.0,0.9379251700680272,0.23530031740665436,0.5714285714285714
student_xray_cross_modal_plain_distill_resampled_r06,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,6,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.81,0.23826570808887482,0.2
student_xray_cross_modal_plain_distill_resampled_r07,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,7,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.7345238095238095,0.2409752607345581,0.0
student_xray_cross_modal_plain_distill_resampled_r08,student_xray_cross_modal_plain_distill_resampled,Plain cross-modal logit KD,Feasibility controls,8,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.81,0.2355678528547287,0.2
student_xray_same_modality_distill_resampled_r01,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.9150793650793649,0.2408638745546341,0.5
student_xray_same_modality_distill_resampled_r02,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24934466183185577,1.0
student_xray_same_modality_distill_resampled_r03,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.9266666666666665,0.2443259209394455,0.6
student_xray_same_modality_distill_resampled_r04,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,4,0.5,0.7222222222222222,0.45054945054945056,1.0,0.4444444444444444,0.2721655269759087,1.0,0.9282627865961199,0.25178593397140503,0.4444444444444444
student_xray_same_modality_distill_resampled_r05,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,5,0.375,0.6428571428571428,0.36507936507936506,1.0,0.2857142857142857,0.2182178902359924,1.0,0.9617346938775511,0.25451767444610596,0.7142857142857143
student_xray_same_modality_distill_resampled_r06,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,6,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,1.0,0.23980168998241425,1.0
student_xray_same_modality_distill_resampled_r07,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,7,0.8571428571428571,0.9166666666666667,0.7878787878787878,1.0,0.8333333333333334,0.6454972243679028,1.0,1.0,0.24885526299476624,1.0
student_xray_same_modality_distill_resampled_r08,student_xray_same_modality_distill_resampled,Same-modality distillation,Feasibility controls,8,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.71,0.24801816046237946,0.0
student_xray_supervised_resampled_r01,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.9150793650793649,0.2314341515302658,0.5
student_xray_supervised_resampled_r02,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,2,0.8,0.875,0.7619047619047619,1.0,0.75,0.6123724356957946,1.0,1.0,0.24801139533519745,1.0
student_xray_supervised_resampled_r03,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,3,0.5,0.7,0.4857142857142857,1.0,0.4,0.31622776601683794,1.0,0.8766666666666667,0.2514498233795166,0.4
student_xray_supervised_resampled_r04,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,4,0.9,0.5,0.47368421052631576,0.9,1.0,0.0,0.0,0.9282627865961199,0.23765838146209717,0.4444444444444444
student_xray_supervised_resampled_r05,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,5,0.5,0.7142857142857143,0.4666666666666667,1.0,0.42857142857142855,0.29277002188455997,1.0,0.9379251700680272,0.25314468145370483,0.5714285714285714
student_xray_supervised_resampled_r06,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,6,0.6666666666666666,0.8,0.625,1.0,0.6,0.4472135954999579,1.0,1.0,0.24650897085666656,1.0
student_xray_supervised_resampled_r07,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,7,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,1.0,0.240801602602005,1.0
student_xray_supervised_resampled_r08,student_xray_supervised_resampled,Student-only X-ray,Feasibility controls,8,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.81,0.23980553448200226,0.2
